QUESTION,BT LEVEL,BT LEVEL (REVISED)
Briefly describe the formation of disulfide bond. Suggest ONE role of disulfide bond. ,Synthesis,Create
Name FOUR enzymes in DNA replication and state their functions. ,Comprehension,Understand
Compare and contrast continuous and discontinuous replications. ,Analysis,Analyze
Write short notes on the structure of RNA. ,Comprehension,Understand
 Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,Analysis,Analyze
List three characteristics that are unique to the Cubist movement.,Knowledge,Remember
Classify celebrations into family and community categories.,Comprehension,Understand
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analysis,Analyze
Identify ordinal positions,Knowledge,Remember
Identify fractions from a pictorial representation,Knowledge,Remember
Select the best title for a passage,Comprehension,Understand
Evaluate board games and justify why rules are important.,Evaluation,Evaluate
Organize this book into three or more sections and give your own subtitle for each section.,Synthesis,Create
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Synthesis,Create
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.  ,Comprehension,Understand
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analysis,Analyze
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,Application,Apply
Which of the two liquids is hypotonic ,Knowledge,Remember
Design a poster for this book.,Synthesis,Create
Is there a better solution to . . .?,Evaluation,Evaluate
Relate the principle of reinforcement to classroom interactions.,Application,Apply
Compose a class story.,Synthesis,Create
Describe what goes in each of the four areas on the first page of notes,Comprehension,Understand
Judge aesthetic qualities and relationship to future values.,Evaluation,Evaluate
Compare how different children come to school.,Analysis,Analyze
Justify your choice of data structure.,Synthesis,Create
"How do I differentiate between ""deceive"" and ""cheat on""?",Analysis,Analyze
How did Chinese newspapers differ from US,Analysis,Analyze
Label the parts of the following insects: Grasshopper,Knowledge,Remember
recall the supply voltage constraints,Knowledge,Remember
Can you differentiate between ethnic Chinese and ethnic Koreans,Analysis,Analyze
What is the setting of To Kill a Mockingbird?,Knowledge,Remember
  Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,Application,Apply
Write a short story relating a personal experience in the style of a picaresque novel.,Synthesis,Create
Predict the differences of a planet with no seasonal changes.,Synthesis,Create
"If notes are available on the professor’s website, how should those notes be used?",Application,Apply
Are there students who should not use the Cornell method?,Evaluation,Evaluate
Create an equation to represent the solution to this problem.,Synthesis,Create
When did you born ?,Knowledge,Remember
in which continent does the state of suriname fall,Knowledge,Remember
Revises and process to improve the outcome.,Synthesis,Create
Why don’t you devise your own way to deal with . . .?,Synthesis,Create
How do psychologists differ in their general attitudes toward third party presence,Analysis,Analyze
Develop a plan for a new Olympic Bid System.,Synthesis,Create
How does your pet differ from other animals?,Analysis,Analyze
"If interest were compounded monthly instead of daily, what would the difference in interest be?",Analysis,Analyze
Take a collection of photographs to demonstrate a particular point.,Application,Apply
Explain the whole method of crushing,Comprehension,Understand
Do you think . . . is a good or a bad thing?,Evaluation,Evaluate
how the investigation was undertaken,Analysis,Analyze
Decide which method of solving a problem was most effective ,Evaluation,Evaluate
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Evaluation,Evaluate
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,Evaluation,Evaluate
 How do we differentiate between an interview and an interrogation?,Analysis,Analyze
How to construct simple solutions when problems are complex?,Application,Apply
Recall the following pictoral example of an implementation of some queue operations,Knowledge,Remember
 Estimate the epicentral coordinates of the earth-quake,Evaluation,Evaluate
Contrast building in the coastal zone with building in a river floodplain.,Analysis,Analyze
suggest ways in which it could have responded more effectively,Evaluation,Evaluate
Relate topographic map to field features,Application,Apply
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluation,Evaluate
Identify the correct definition of osmosis.,Knowledge,Remember
 would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,Comprehension,Understand
Judge the value of . . .?,Evaluation,Evaluate
Decide which course of action was most effective ,Evaluation,Evaluate
List the steps involved in titration.,Knowledge,Remember
How do we construct agents that can deliver. “good” assistance,Application,Apply
Estimate the difficulty of the question,Evaluation,Evaluate
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Application,Apply
design a cost effective strategy to generate reliable data.,Synthesis,Create
Retell the story in your words.,Comprehension,Understand
How would you decide about...?,Evaluation,Evaluate
"Draw 3 pictures showing the beginning, middle and ending of the story.",Application,Apply
List four types of clauses mentioned in the article,Knowledge,Remember
How do teenagers use code in emails and instant messages?,Application,Apply
when was the first airport in the yemen built,Knowledge,Remember
